1521319789.866000 /muse/acc fff  -308.59424 937.50146 105.46892
1521319800.514000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  12.811328 18.015432 16.85932 12.930478 8.672083 4.8092895 5.4472027 3.6931365 0.46930036 -0.061172552 -4.0992155 -5.458413 -5.170181 -4.9902525 -11.084226 -9.752147 -7.2917147 -7.7356744 -11.861993 -11.600917 -10.735562 -12.027342 -9.040588 -10.072814 -12.0793295 -13.111882 -13.72141 -10.07491 -9.742965 -13.604615 -5.08974 -8.638553 -7.2878804 -12.030277 -8.860256 -6.334383 -12.847069 -8.374856 -8.726538 -8.172356 -9.834426 -11.618949 -9.438107 -7.3860164 -9.943984 -6.8517456 -11.421438 -9.368388 -9.906903 -13.9632435 -11.359655 -9.720086 -14.284168 -15.416454 -6.084884 -7.7616034 -15.453005 -20.00327 -10.508054 -12.236211 -15.040987 -17.558475 -11.894059 -15.360265 -14.205387 -19.786352 -23.919453 -24.047205 -23.443386 -26.178835 -27.123169 -25.31859 -22.261065 -16.23574 -10.353391 -12.924344 -13.556674 -12.2504635 -14.093648 -10.374374 -11.526037 -8.963913 -13.2061405 -15.430064 -20.530275 -10.091414 -8.255534 -15.085168 -11.208512 -14.087989 -12.173834 -14.688839 -13.048916 -12.072176 -12.04001 -13.464369 -15.263436 -14.262844 -11.997738 -10.970915 -13.204742 -14.169838 -14.653148 -16.89009 -16.18673 -8.9279785 -8.6725 -12.458785 -11.963037 -14.203953 -16.081224 -15.393663 -16.20023 -23.201424 -17.952822 -13.282104 -11.775549 -15.642495 -20.94204 -23.940926 -21.94391 -22.1189 -25.579489 -20.044104 -17.531013 -22.207418 -27.861086 -22.832489 -18.44419
1521319800.515000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  9.4816885 14.607429 11.968051 7.805613 1.4129515 0.60428005 -0.8158579 -2.6476963 -8.99197 -11.573974 -9.881928 -9.195119 -9.967428 -8.393797 -14.0441675 -12.116286 -8.540048 -8.524 -14.3286705 -13.776845 -8.823538 -9.573808 -12.753507 -13.890687 -9.361261 -10.159933 -8.528471 -8.117717 -10.285513 -10.989571 -8.248264 -8.555409 -8.76624 -9.006782 -8.386602 -5.102913 -6.8227897 -10.027852 -14.481619 -12.330469 -12.402165 -11.15985 -12.884136 -9.545153 -6.611543 -7.6284328 -7.919089 -7.97584 -11.793036 -9.020368 -11.448713 -11.616683 -17.157253 -14.998717 -16.00338 -11.198519 -9.200548 -6.633871 -7.3288026 -9.201019 -7.7578206 -9.848568 -13.245848 -11.983077 -19.891418 -20.631737 -17.835266 -17.404345 -25.5746 -31.48527 -29.88588 -26.304585 -20.25837 -19.985271 -18.390818 -14.799543 -14.668044 -17.341322 -15.643897 -13.382142 -11.308782 -12.745782 -12.877488 -15.9027195 -15.386474 -11.946908 -11.610226 -11.021118 -16.151796 -18.965914 -18.24618 -24.90339 -23.98009 -12.622122 -11.734421 -12.379151 -13.724915 -22.18648 -23.68427 -15.451129 -16.099253 -17.593369 -15.875566 -15.609157 -13.579219 -11.579313 -13.504475 -16.194984 -12.349257 -12.717858 -20.842897 -17.758884 -15.764401 -20.605795 -20.577257 -20.236025 -16.315382 -17.78783 -19.063345 -15.519225 -20.692173 -21.023619 -19.534895 -23.6259 -26.373478 -26.352232 -25.247883 -27.688288 -29.040575
1521319800.515000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  11.262348 17.058899 15.874684 9.115876 5.588373 3.6629412 1.9304763 0.79794896 5.239173 4.1006246 -1.9611679 -2.033509 0.07148003 -1.5955247 -6.5653343 -7.9466724 -1.7558807 -0.6044801 -9.575974 -4.2105527 -1.4165347 -5.59854 -6.9787364 -4.5428114 -4.152149 -5.4743867 -4.5948977 -6.328054 -7.0721 -8.60985 -10.270126 -8.052575 -10.2594795 -4.038387 -8.677007 -9.319722 -13.933557 -8.653373 -8.34652 -6.4221964 -7.672848 -7.06599 -4.5789695 -6.3668656 -7.5594854 -11.076469 -11.313118 -9.583829 -12.593449 -8.357189 -10.402628 -12.629018 -13.246526 -13.794079 -10.534658 -9.548817 -10.040022 -8.423608 -10.586653 -9.667925 -11.055669 -12.973846 -15.353198 -17.286804 -14.579542 -11.068169 -11.932784 -17.128876 -17.378437 -22.148169 -24.707766 -18.562948 -22.673353 -20.581623 -20.500216 -17.905312 -15.12045 -13.712997 -14.954407 -11.152529 -7.6884556 -13.45863 -10.54399 -11.830006 -13.0615835 -14.363984 -14.062678 -15.888153 -15.068876 -8.556637 -6.660504 -15.860652 -17.055588 -15.508449 -20.42063 -15.538138 -10.59937 -10.621437 -12.553322 -20.233 -21.361181 -23.25516 -19.299099 -17.90109 -16.511652 -15.160903 -13.05389 -12.961004 -9.207087 -8.338293 -16.802021 -21.412039 -15.073337 -12.906739 -14.041802 -13.524024 -3.2166111 -5.154257 -15.26624 -13.08314 -20.276829 -21.152813 -21.13963 -20.636 -18.04018 -23.043293 -27.158594 -25.941921 -23.252806
1521319800.515000 /muse/elements/low_freqs_absolute ffff  2.0394375 1.8076081 1.3074313 1.7885597
1521319800.515000 /muse/elements/alpha_absolute ffff  1.3977549 0.5762822 0.030827612 0.84745973
1521319800.515000 /muse/elements/beta_absolute ffff  1.242742 0.41080925 0.312936 0.7805308
1521319800.515000 /muse/elements/delta_absolute ffff  2.005212 1.7500072 1.2576579 1.7029262
1521319800.515000 /muse/elements/gamma_absolute ffff  1.1788516 0.42003173 0.35676575 0.37999815
1521319800.515000 /muse/elements/theta_absolute ffff  0.9190023 0.901772 0.34199598 1.0413063
1521319800.515000 /muse/elements/alpha_session_score ffff  0.68 0.71428573 0.0 0.14545454
1521319800.515000 /muse/elements/beta_session_score ffff  0.0 0.6785714 0.2580645 0.56666666
1521319800.515000 /muse/elements/delta_session_score ffff  1.0 0.94512194 0.7542373 0.89411765
1521319800.515000 /muse/elements/gamma_session_score ffff  0.3548387 1.0 1.0 0.5
1521319800.515000 /muse/elements/theta_session_score ffff  0.028571429 0.86904764 0.41333333 0.54
1521319800.515000 /muse/eeg ffff  884.999450684 845.519897461 853.744812012 848.809875488
1521319800.515000 /muse/eeg ffff  878.419494629 835.650024414 843.874938965 852.09979248
1521319800.515000 /muse/eeg ffff  868.549621582 830.715087891 840.584960938 842.229919434
1521319800.515000 /muse/eeg ffff  899.804260254 837.29498291 848.809875488 845.519897461
1521319800.516000 /muse/eeg ffff  838.940002441 825.780151367 838.940002441 847.164855957
1521319800.516000 /muse/eeg ffff  884.999450684 829.070068359 835.650024414 852.09979248
1521319800.516000 /muse/eeg ffff  870.194580078 832.360046387 842.229919434 845.519897461
1521319800.516000 /muse/eeg ffff  884.999450684 830.715087891 834.005004883 847.164855957
1521319800.516000 /muse/eeg ffff  858.679748535 834.005004883 843.874938965 843.874938965
1521319800.522000 /muse/acc fff  -316.406738281 933.595214844 105.468917847
1521319800.538000 /muse/acc fff  -316.406738281 933.595214844 105.468917847
1521319800.572000 /muse/acc fff  -320.312988281 933.595214844 105.468917847
1521319800.572000 /muse/drlref ff  1629032.25 1648387.125
1521319800.633000 /muse/eeg ffff  911.319091797 842.229919434 845.519897461 852.09979248
1521319800.633000 /muse/eeg/quantization iiii  1 1 1 1
1521319800.633000 /muse/eeg ffff  868.549621582 829.070068359 829.070068359 847.164855957
1521319800.633000 /muse/eeg ffff  868.549621582 830.715087891 838.940002441 835.650024414
1521319800.633000 /muse/eeg ffff  863.614685059 829.070068359 837.29498291 834.005004883
1521319800.633000 /muse/eeg ffff  827.425109863 829.070068359 838.940002441 847.164855957
1521319800.634000 /muse/eeg ffff  863.614685059 834.005004883 840.584960938 843.874938965
1521319800.634000 /muse/eeg ffff  861.969726562 830.715087891 832.360046387 825.780151367
1521319800.634000 /muse/eeg ffff  896.514282227 837.29498291 835.650024414 834.005004883
1521319800.634000 /muse/eeg ffff  876.774536133 840.584960938 838.940002441 835.650024414
1521319800.634000 /muse/eeg ffff  878.419494629 835.650024414 834.005004883 845.519897461
1521319800.634000 /muse/eeg ffff  845.519897461 835.650024414 832.360046387 838.940002441
1521319800.634000 /muse/eeg ffff  886.64440918 838.940002441 832.360046387 832.360046387
1521319800.634000 /muse/eeg ffff  860.324707031 842.229919434 834.005004883 835.650024414
1521319800.634000 /muse/elements/alpha_relative ffff  0.14956611 0.047085144 0.042140145 0.09813574
1521319800.634000 /muse/elements/beta_relative ffff  0.10466951 0.03442673 0.079840094 0.07964758
1521319800.634000 /muse/elements/delta_relative ffff  0.60574555 0.7743282 0.7059 0.6629978
1521319800.634000 /muse/elements/gamma_relative ffff  0.09035036 0.03385834 0.08666825 0.030090403
1521319800.634000 /muse/elements/theta_relative ffff  0.049668446 0.110301584 0.085451484 0.12912853
1521319800.634000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521319800.634000 /muse/elements/is_good iiii  0 1 1 1
1521319800.634000 /muse/elements/blink i  0
1521319800.634000 /muse/elements/jaw_clench i  0
1521319800.634000 /muse/elements/touching_forehead i  1
1521319800.634000 /muse/elements/experimental/concentration f  0.2428474
1521319800.634000 /muse/elements/experimental/mellow f  0.0
1521319800.635000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  12.279165 18.841158 14.217043 14.766999 14.162778 8.546702 8.03582 5.4670906 7.563518 4.34177 4.1635213 4.113528 6.728504 3.5624251 1.1376857 7.0894537 8.431703 1.6516721 -2.5576804 4.3630667 4.1912603 1.5156068 -3.3659823 -5.603238 -2.6402721 -2.0516162 -2.2898147 -2.2980528 -2.471216 -2.7303946 -2.1508293 1.5915333 6.6131535 1.7601902 0.77682304 1.677138 -2.7620134 3.5333068 -3.6725986 -5.0037317 -3.219604 -2.8390887 -2.5353036 -1.0058961 -2.493619 -3.9111388 -2.3419116 -1.8785651 -7.5611544 -5.663277 -3.3313363 -2.1126492 -1.6370322 -2.4750016 4.214154 1.1869738 -2.8414469 -5.008546 1.527436 1.1798173 -7.871286 -4.5589843 0.9469554 -3.9288826 -11.349892 -12.910361 -6.5353065 -12.393212 -16.365385 -13.33136 -13.067641 -17.787361 -18.472694 -8.72157 -4.513676 -6.240024 -4.4385815 -1.6747344 -3.07625 -2.9214532 -2.741087 0.8399223 -2.6947894 -7.7074785 -6.188256 1.2558165 3.1245778 -3.7852786 -3.37054 -7.130504 -5.3283606 -5.731269 -2.702503 -2.070955 -5.4918594 -9.615865 -8.16209 -3.5471625 -6.590713 -6.7342515 -4.974484 -2.3447788 -4.453453 -7.1290903 -6.1976447 -2.0031257 -3.3916707 -3.871524 -2.4868429 -8.07028 -7.401271 -5.2296762 -6.182874 -7.5866346 -5.723843 -0.026744395 12.41798 10.738349 -4.5316706 -9.664259 -10.602401 -11.942428 -16.269476 -8.005035 -3.920973 -10.38008 -19.19917 -17.340378 -15.856907
1521319800.635000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  13.073273 18.451439 17.246367 13.122766 8.837238 4.836572 5.72404 4.1206746 0.46271402 -0.10702672 -3.9879906 -5.904906 -6.2551813 -5.1716223 -11.092865 -9.739464 -6.702606 -7.3580685 -11.408109 -10.605608 -11.18011 -13.568249 -9.558856 -10.345596 -12.007449 -13.024156 -14.575943 -9.596264 -9.367794 -14.137593 -5.7335854 -8.290602 -7.300469 -11.019857 -8.058575 -6.4836392 -12.7969055 -8.816007 -10.999114 -9.770744 -9.225085 -10.667783 -9.326908 -7.2904806 -10.54497 -6.882614 -10.50539 -9.066246 -10.704781 -14.445912 -11.585508 -9.366675 -12.854303 -14.873473 -5.8637195 -8.295585 -16.416166 -19.128336 -10.106207 -12.101071 -14.278076 -16.140469 -11.368579 -14.645235 -14.626806 -20.122532 -23.084269 -24.274607 -23.249544 -26.103125 -27.520828 -25.394854 -22.730522 -15.203595 -9.6774645 -12.919486 -13.232706 -11.813884 -14.253771 -11.237632 -11.812606 -8.989514 -11.957079 -15.237758 -20.4743 -9.384565 -8.300662 -15.379494 -11.054725 -14.738196 -12.206893 -14.551747 -12.800891 -12.283457 -12.067176 -13.27603 -14.78161 -14.28791 -12.371498 -11.79682 -13.963616 -14.330666 -14.397281 -16.800833 -15.785123 -9.519863 -9.513392 -13.250408 -12.0980015 -14.013864 -15.499322 -14.725188 -15.924049 -23.266403 -17.970745 -13.196599 -11.63242 -15.568668 -21.070238 -24.64261 -23.084623 -22.949701 -24.514442 -19.16398 -17.165916 -22.119352 -27.960236 -23.376635 -19.94934
1521319800.636000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  9.356294 14.938594 12.386869 8.181171 1.4191202 1.0108576 -0.7829625 -2.4717073 -9.028601 -10.755135 -9.75755 -9.490469 -10.794688 -8.564751 -13.347809 -11.168261 -8.035903 -7.740259 -14.770137 -13.942061 -8.298028 -9.317535 -12.88806 -14.215484 -9.5494995 -10.166963 -9.460432 -8.769465 -9.630725 -11.317767 -8.812234 -8.581511 -9.412996 -9.277831 -8.3284025 -5.4501853 -6.7860847 -10.432245 -15.621187 -11.793427 -11.025946 -10.870497 -12.452695 -9.57927 -7.1146817 -8.497388 -8.541731 -8.44812 -10.957072 -8.473978 -11.984041 -12.869126 -18.660524 -15.722914 -14.671898 -11.694463 -9.1712675 -6.773273 -7.8012366 -9.292064 -7.454045 -9.630547 -13.983659 -11.854138 -19.728777 -20.469488 -17.58563 -17.242893 -27.146103 -33.105343 -29.414852 -25.234348 -20.26008 -20.302027 -18.452168 -14.803345 -15.145949 -17.726025 -15.51928 -14.133774 -12.2128725 -12.586288 -12.792596 -15.658412 -15.378512 -11.473178 -11.426466 -11.270426 -15.559961 -18.818548 -17.069433 -23.939163 -23.077276 -12.291563 -12.159248 -12.202799 -13.069963 -21.223627 -22.67512 -15.239782 -16.402788 -17.76772 -15.238316 -15.792928 -13.3980665 -11.979665 -14.666857 -16.38957 -12.499255 -13.066624 -20.998163 -18.401196 -15.602775 -20.650755 -20.67959 -20.615583 -16.382126 -17.787954 -18.69338 -15.032966 -20.91414 -21.804987 -20.40084 -23.522877 -26.177912 -26.807447 -25.62432 -27.869898 -30.330978
1521319800.636000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  11.936411 17.465326 16.411009 9.841122 5.2140837 3.7117262 2.0601041 -0.13463804 4.8004866 3.5824907 -1.7251652 -2.2552059 -0.53232104 -1.8825895 -5.8053746 -6.5039115 -0.71332735 -0.2235149 -8.728849 -3.328067 -1.4627316 -5.775459 -6.9372463 -4.332804 -3.7832036 -5.479046 -5.0418305 -7.3491397 -7.257424 -8.423937 -8.7392645 -7.881311 -10.554915 -4.3950415 -9.445006 -8.793866 -12.357111 -8.099811 -8.653982 -6.4249697 -7.8101993 -7.47956 -4.4717045 -6.1674614 -7.886274 -11.334574 -10.749164 -9.957411 -11.793562 -8.460883 -10.258249 -11.488026 -11.56945 -12.615152 -10.101975 -10.562481 -10.917566 -9.228039 -11.176378 -9.529459 -10.656516 -12.144822 -14.190284 -16.148375 -13.934933 -11.054992 -11.797573 -17.51911 -17.293894 -21.81677 -23.765846 -18.557173 -21.63165 -20.88089 -20.212835 -18.247877 -14.155273 -12.455402 -14.244956 -12.402748 -8.113913 -13.916434 -9.595473 -10.854888 -12.893914 -14.143746 -13.664356 -16.545717 -14.49973 -8.795 -6.8690763 -15.637563 -16.005745 -14.245206 -19.635614 -14.230971 -10.346381 -10.680662 -13.734503 -19.810713 -20.064528 -23.490177 -18.023375 -16.844082 -17.58961 -16.062477 -13.274882 -12.687106 -8.41902 -7.564835 -15.553898 -20.815647 -14.955659 -12.365518 -14.111173 -13.651707 -3.2585993 -5.3543816 -15.431226 -12.944215 -20.123299 -21.195227 -20.771338 -20.066164 -18.315004 -22.65298 -27.836206 -26.61182 -23.752514
1521319800.636000 /muse/elements/low_freqs_absolute ffff  2.0394375 1.8094724 1.3040998 1.7983491
1521319800.636000 /muse/elements/alpha_absolute ffff  1.3977549 0.5355948 0.030426329 0.89138186
1521319800.636000 /muse/elements/beta_absolute ffff  1.242742 0.3996067 0.30795133 0.80072725
1521319800.636000 /muse/elements/delta_absolute ffff  2.005212 1.751636 1.2544734 1.7210667
1521319800.636000 /muse/elements/gamma_absolute ffff  1.1788516 0.3923766 0.34359035 0.37798268
1521319800.637000 /muse/elements/theta_absolute ffff  0.9190023 0.9052927 0.3374499 1.0105768
1521319800.637000 /muse/elements/alpha_session_score ffff  0.68 0.61904764 0.0 0.23636363
1521319800.637000 /muse/elements/beta_session_score ffff  0.0 0.64285713 0.2580645 0.6551724
1521319800.637000 /muse/elements/delta_session_score ffff  1.0 0.9444444 0.75 0.91764706
1521319800.637000 /muse/elements/gamma_session_score ffff  0.3548387 1.0 1.0 0.5
1521319800.637000 /muse/elements/theta_session_score ffff  0.028571429 0.86904764 0.4189189 0.48979592
1521319800.637000 /muse/eeg ffff  871.839599609 837.29498291 837.29498291 840.584960938
1521319800.637000 /muse/eeg ffff  868.549621582 834.005004883 834.005004883 830.715087891
1521319800.637000 /muse/eeg ffff  832.360046387 827.425109863 830.715087891 829.070068359
1521319800.637000 /muse/acc fff  -320.312988281 933.595214844 105.468917847
1521319800.637000 /muse/acc fff  -320.312988281 933.595214844 105.468917847
1521319800.637000 /muse/acc fff  -316.406738281 929.688964844 105.468917847
1521319800.642000 /muse/acc fff  -320.312988281 933.595214844 105.468917847
1521319800.661000 /muse/eeg ffff  870.194580078 835.650024414 827.425109863 830.715087891
1521319800.661000 /muse/eeg/quantization iiii  1 1 1 1
1521319800.661000 /muse/eeg ffff  825.780151367 834.005004883 832.360046387 837.29498291
1521319800.661000 /muse/eeg ffff  870.194580078 832.360046387 830.715087891 837.29498291
1521319800.661000 /muse/eeg ffff  842.229919434 830.715087891 834.005004883 824.135131836
1521319800.661000 /muse/eeg ffff  865.259643555 829.070068359 835.650024414 830.715087891
1521319800.661000 /muse/eeg ffff  843.874938965 837.29498291 838.940002441 830.715087891
1521319800.662000 /muse/eeg ffff  837.29498291 830.715087891 842.229919434 843.874938965
1521319800.662000 /muse/eeg ffff  799.460449219 817.555236816 824.135131836 827.425109863
1521319800.662000 /muse/eeg ffff  840.584960938 829.070068359 829.070068359 814.265258789
1521319800.662000 /muse/eeg ffff  840.584960938 829.070068359 824.135131836 815.91027832
1521319800.662000 /muse/eeg ffff  845.519897461 835.650024414 834.005004883 815.91027832
1521319800.662000 /muse/eeg ffff  855.389770508 835.650024414 835.650024414 825.780151367
1521319800.662000 /muse/eeg ffff  835.650024414 830.715087891 827.425109863 817.555236816
1521319800.662000 /muse/eeg ffff  886.64440918 832.360046387 837.29498291 815.91027832
1521319800.662000 /muse/eeg ffff  824.135131836 830.715087891 835.650024414 815.91027832
1521319800.662000 /muse/eeg ffff  855.389770508 835.650024414 838.940002441 810.975280762
1521319800.662000 /muse/acc fff  -312.500488281 933.595214844 105.468917847
1521319800.672000 /muse/drlref ff  1629032.25 1648387.125
1521319800.690000 /muse/acc fff  -312.500488281 933.595214844 105.468917847
1521319800.706000 /muse/acc fff  -312.500488281 937.501464844 105.468917847
1521319800.723000 /muse/acc fff  -312.500488281 937.501464844 105.468917847
1521319800.746000 /muse/eeg ffff  820.845214844 829.070068359 832.360046387 807.68536377
1521319800.746000 /muse/eeg/quantization iiii  1 1 1 1
1521319800.746000 /muse/eeg ffff  857.034729004 832.360046387 832.360046387 810.975280762
1521319800.746000 /muse/eeg ffff  873.484558105 834.005004883 837.29498291 809.330322266
1521319800.747000 /muse/elements/alpha_relative ffff  0.14956611 0.04284443 0.041646466 0.105050854
1521319800.747000 /muse/elements/beta_relative ffff  0.10466951 0.03354335 0.078805804 0.0828413
1521319800.747000 /muse/elements/delta_relative ffff  0.60574555 0.7813745 0.70976573 0.6587162
1521319800.747000 /muse/elements/gamma_relative ffff  0.09035036 0.031517997 0.08363507 0.03132301
1521319800.747000 /muse/elements/theta_relative ffff  0.049668446 0.11071968 0.086146936 0.122068614
1521319800.747000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521319800.747000 /muse/elements/is_good iiii  0 1 1 1
1521319800.747000 /muse/elements/blink i  0
1521319800.747000 /muse/elements/jaw_clench i  0
1521319800.747000 /muse/elements/touching_forehead i  1
1521319800.747000 /muse/elements/experimental/concentration f  0.2428474
1521319800.747000 /muse/elements/experimental/mellow f  0.0
1521319800.748000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  12.80578 19.702444 14.2522 14.685458 13.7411585 8.08652 7.4950953 5.5256376 7.4180555 4.3662806 4.92045 4.463092 5.9809165 2.1504302 -0.15295213 7.260932 8.807607 2.7733018 -0.07859382 5.682838 4.6875772 0.47867975 -3.8026054 -5.6208644 -2.5551133 -2.101491 -2.6373446 -1.9015611 -3.957214 -3.490755 -1.4028363 2.3395114 6.0491543 1.2827263 0.119571485 0.6679573 -2.6900299 3.3771074 -3.4343832 -3.1223419 -2.780614 -2.475471 -2.5145292 -0.75143343 -2.3135843 -4.1043577 -2.8753018 -1.6207712 -7.805032 -6.2465453 -4.206947 -1.8019141 -1.6149285 -1.8745238 4.36109 0.8108066 -4.1145234 -5.8807297 1.617685 1.3249787 -7.8706117 -5.058657 0.6445723 -3.6830525 -9.615202 -11.01734 -5.990041 -12.248907 -16.763578 -14.168509 -13.5134 -17.931822 -19.314049 -8.033819 -3.788634 -6.276529 -4.3249846 -1.5232909 -3.122643 -3.4091055 -2.778123 0.62909687 -1.8904572 -6.4817653 -6.5052986 1.4596144 2.8417118 -4.155098 -3.0324457 -5.871646 -4.832319 -5.685484 -2.3625731 -2.4878345 -5.591752 -9.832449 -7.540687 -3.7010436 -7.7240634 -8.381796 -4.8537283 -1.8697006 -4.262873 -6.051809 -5.068536 -2.0336413 -3.5955381 -4.1196265 -2.1967134 -7.6991773 -7.6925316 -4.6005764 -5.7749314 -7.338051 -5.462558 -0.24321155 12.506198 10.7382 -5.137843 -9.597055 -10.52872 -13.286942 -17.506933 -7.9212804 -3.805182 -10.230055 -18.86629 -17.616219 -16.635103
1521319800.748000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  13.014772 18.726484 17.39861 13.190466 8.86161 4.8292336 5.8184 4.3134675 0.47333652 -0.30720156 -3.894756 -6.6608596 -7.4142447 -5.691986 -10.980133 -9.458376 -6.3537993 -7.176659 -10.628523 -9.627223 -11.884315 -14.365717 -10.16522 -10.72672 -11.856228 -12.649758 -14.943374 -9.040608 -9.016135 -14.591628 -6.3677 -7.6912217 -7.3459363 -10.247836 -7.178272 -6.694448 -12.673675 -9.553645 -12.514469 -10.686821 -8.937589 -9.988139 -9.46868 -7.358937 -10.644712 -7.0290227 -9.9711275 -8.905565 -11.293526 -14.959242 -11.921219 -9.020457 -11.980302 -13.422218 -5.7512207 -9.002887 -17.069029 -17.753632 -9.685446 -11.976157 -13.453217 -15.318577 -11.040884 -14.391049 -15.245691 -20.030504 -22.209637 -24.333212 -23.30839 -26.461239 -27.75831 -25.806543 -23.108095 -14.521909 -9.124657 -12.856794 -12.835903 -11.554104 -14.75979 -12.389249 -12.540593 -9.26913 -11.053246 -14.7446575 -18.993208 -8.703471 -8.398547 -16.285591 -10.871752 -14.450133 -12.285219 -14.458543 -12.515508 -12.720636 -12.170536 -13.1315155 -14.395942 -14.426217 -12.936301 -12.857238 -14.720496 -13.8285475 -14.385105 -16.820652 -15.171713 -10.13294 -10.595145 -14.274277 -12.257464 -13.994806 -15.11827 -13.770914 -15.431572 -23.317783 -18.007282 -13.159903 -11.550509 -15.610127 -21.176752 -25.22228 -24.066732 -23.82086 -23.534212 -18.664904 -16.974682 -21.88702 -28.391993 -24.235174 -21.513502
1521319800.748000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  9.123684 15.102586 12.549132 8.34179 1.5529435 1.2045671 -0.6391907 -2.3603 -8.889694 -10.195406 -9.751667 -9.875903 -11.400855 -8.908969 -13.196803 -10.605216 -7.871522 -7.086545 -14.73674 -14.066159 -7.9038854 -9.138572 -12.87998 -14.167672 -9.709892 -9.941377 -10.3678875 -9.610946 -9.195719 -11.678973 -9.913126 -8.636123 -10.0717325 -9.907725 -8.023166 -5.7884116 -6.654954 -11.040105 -17.009796 -11.346644 -10.16556 -10.775884 -12.036302 -9.64182 -7.83776 -9.541722 -9.254996 -8.940284 -10.036204 -8.155512 -12.629147 -13.68843 -18.346012 -15.814612 -13.772396 -12.318721 -9.355492 -7.1708856 -8.666504 -9.332657 -7.3173347 -9.386474 -14.483532 -11.719344 -19.206245 -20.427925 -17.371662 -17.174526 -29.254305 -34.12383 -29.224756 -24.625107 -20.438208 -20.733477 -18.47205 -14.927436 -15.648109 -17.746634 -15.507846 -14.998564 -13.092209 -12.394639 -12.842211 -15.345375 -15.647659 -11.03356 -11.312168 -11.702498 -14.590003 -17.561907 -15.656496 -22.790836 -21.967634 -12.054484 -12.675535 -12.085576 -12.700242 -20.424057 -21.225475 -15.036321 -16.68232 -17.863855 -14.737054 -15.425547 -13.257289 -12.574004 -15.576869 -16.54675 -12.683898 -13.559158 -20.801092 -18.87548 -15.608102 -20.706589 -20.382761 -21.268927 -16.489647 -18.182203 -18.090801 -14.7538595 -20.999191 -22.481644 -21.284666 -23.405434 -26.211004 -27.315804 -25.942097 -27.952778 -33.042587
