1521319789.866000 /muse/acc fff  -308.59424 937.50146 105.46892
1521319789.988000 /muse/elements/delta_session_score ffff  0.43283582 0.024793388 0.24786325 0.11702128
1521319789.988000 /muse/elements/gamma_session_score ffff  0.6969697 0.75 0.6818182 0.23913044
1521319789.988000 /muse/elements/theta_session_score ffff  0.8055556 0.0 0.29508197 0.025641026
1521319789.988000 /muse/eeg ffff  774.78577 825.78015 824.13513 819.2002
1521319789.989000 /muse/eeg ffff  861.9697 843.87494 838.94 827.4251
1521319789.989000 /muse/eeg ffff  829.07007 843.87494 834.005 815.9103
1521319789.989000 /muse/eeg ffff  893.2243 852.0998 843.87494 827.4251
1521319789.989000 /muse/eeg ffff  845.5199 843.87494 847.16486 834.005
1521319789.989000 /muse/eeg ffff  824.13513 829.07007 837.295 842.2299
1521319789.989000 /muse/eeg ffff  797.8155 832.36005 837.295 832.36005
1521319789.989000 /muse/eeg ffff  827.4251 838.94 843.87494 834.005
1521319789.989000 /muse/acc fff  -308.59424 933.5952 105.46892
1521319789.989000 /muse/acc fff  -308.59424 937.50146 105.46892
1521319789.990000 /muse/acc fff  -312.5005 937.50146 105.46892
1521319789.990000 /muse/eeg ffff  842.2299 843.87494 837.295 834.005
1521319789.990000 /muse/eeg/quantization iiii  1 1 1 1
1521319789.990000 /muse/eeg ffff  819.2002 842.2299 834.005 837.295
1521319789.990000 /muse/eeg ffff  814.26526 838.94 837.295 842.2299
1521319789.990000 /muse/eeg ffff  753.401 829.07007 837.295 835.65
1521319789.990000 /muse/eeg ffff  769.8508 830.7151 842.2299 825.78015
1521319789.991000 /muse/eeg ffff  751.75604 830.7151 837.295 817.55524
1521319789.991000 /muse/eeg ffff  817.55524 835.65 829.07007 807.68536
1521319789.991000 /muse/eeg ffff  784.65564 835.65 829.07007 801.1054
1521319789.991000 /muse/eeg ffff  822.4902 834.005 832.36005 809.3303
1521319789.991000 /muse/eeg ffff  825.78015 835.65 830.7151 802.7504
1521319789.991000 /muse/eeg ffff  861.9697 845.5199 840.58496 812.6203
1521319789.991000 /muse/eeg ffff  865.25964 847.16486 843.87494 814.26526
1521319789.991000 /muse/eeg ffff  860.3247 845.5199 837.295 806.04034
1521319789.992000 /muse/eeg ffff  865.25964 842.2299 835.65 817.55524
1521319789.992000 /muse/elements/alpha_relative ffff  0.2457758 0.2541902 0.115961894 0.28307688
1521319789.992000 /muse/elements/beta_relative ffff  0.22478367 0.30135065 0.29911128 0.15665875
1521319789.992000 /muse/elements/delta_relative ffff  0.107472844 0.15545365 0.29304296 0.29089972
1521319789.992000 /muse/elements/gamma_relative ffff  0.2335198 0.18405864 0.1592841 0.055678286
1521319789.992000 /muse/elements/theta_relative ffff  0.18844788 0.104946844 0.13259977 0.21368636
1521319789.992000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521319789.992000 /muse/elements/is_good iiii  1 1 1 1
1521319789.992000 /muse/elements/blink i  0
1521319789.993000 /muse/elements/jaw_clench i  0
1521319789.993000 /muse/elements/touching_forehead i  1
1521319789.993000 /muse/elements/experimental/concentration f  0.0
1521319789.993000 /muse/elements/experimental/mellow f  0.0
