1521324899.875000 /muse/elements/theta_relative ffff  0.29699668 0.20311289 0.20315239 0.2440248
1521324899.875000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521324899.876000 /muse/elements/is_good iiii  1 1 1 1
1521324899.876000 /muse/elements/blink i  0
1521324899.876000 /muse/elements/jaw_clench i  0
1521324899.876000 /muse/elements/touching_forehead i  1
1521324899.876000 /muse/elements/experimental/concentration f  0.010157924
1521324899.876000 /muse/elements/experimental/mellow f  0.0
1521324899.876000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  10.90637 12.08154 9.945325 9.317842 7.898115 6.8340206 0.95809597 3.0431702 -0.5372889 -0.6680604 -3.226292 -1.1310323 -7.4765167 -3.947205 -6.211609 -6.350611 -9.385144 -7.449306 -8.089522 -6.807254 -8.873719 -13.724462 -11.632029 -10.937988 -13.478915 -11.434964 -12.994546 -10.948533 -14.373041 -13.013756 -8.258349 -6.591006 -9.594828 -13.106404 -7.373201 -5.6286864 -10.831703 -15.869375 -13.170841 -14.887725 -9.410503 -13.765537 -9.674962 -5.8715463 -9.237173 -10.122231 -9.161182 -13.847437 -12.650444 -15.150323 -11.25328 -11.871188 -10.09841 -10.431897 -5.7476883 -9.805661 -13.87428 -19.704895 -10.27287 -9.413822 -16.073574 -16.116863 -21.531824 -19.654629 -21.050097 -18.205654 -18.109724 -21.764286 -25.94709 -18.122442 -13.540294 -24.121714 -25.837202 -17.169472 -13.737423 -19.554594 -17.596235 -24.601234 -16.52731 -16.154339 -13.8292265 -13.41189 -15.090737 -19.611399 -23.381807 -12.9532995 -13.090582 -17.78037 -16.243025 -24.666956 -26.50111 -21.227827 -22.869093 -20.616995 -23.673258 -18.351297 -12.130981 -15.250478 -15.99324 -17.164387 -21.635738 -16.948755 -12.662297 -13.24766 -16.137234 -17.949598 -20.496586 -17.928831 -14.008649 -10.995579 -15.502583 -21.164085 -20.893196 -22.226263 -19.929245 -11.883577 3.1142771 1.9244236 -14.375974 -17.455925 -18.95484 -24.505102 -26.709265 -21.92477 -23.253622 -21.636534 -21.993055 -25.175318 -27.686317
1521324899.877000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  3.2088308 7.627093 4.135651 2.2016156 0.6836558 -6.033935 -8.326971 -6.234378 -0.73572886 -7.462015 -11.22312 -7.6819253 -6.286943 -7.485432 -12.153774 -13.447035 -10.420495 -10.613325 -11.944295 -17.102034 -20.110416 -16.627804 -18.220058 -19.338345 -14.062275 -15.650441 -15.167837 -13.909389 -20.168583 -22.475086 -18.529573 -12.769872 -12.06568 -15.025145 -13.562089 -13.945336 -18.57334 -20.808416 -19.91633 -18.027967 -18.638657 -25.919136 -18.745678 -11.523498 -13.441053 -13.474143 -11.071775 -14.333466 -14.736987 -14.320083 -21.213045 -23.152742 -19.83718 -18.201773 -14.151743 -19.017727 -18.17348 -17.673681 -16.294756 -16.080757 -18.899519 -14.704895 -20.87486 -20.446138 -21.680592 -19.737352 -23.145954 -29.444265 -35.043922 -33.95819 -33.25256 -37.524654 -29.747408 -24.836807 -20.868202 -23.08596 -21.948961 -16.018127 -17.840494 -17.329287 -23.88279 -24.247692 -24.708097 -22.031588 -19.755936 -17.583754 -17.65478 -21.549246 -19.917591 -20.334934 -26.40703 -20.256954 -21.21257 -25.632975 -24.470814 -18.066202 -19.10965 -24.067469 -31.610327 -26.64747 -23.010498 -20.532593 -17.902012 -15.977801 -19.925276 -20.724613 -22.513262 -19.155354 -18.813074 -17.470652 -21.263956 -23.540075 -20.613882 -21.975998 -27.049944 -24.36726 -25.880268 -24.157192 -24.781372 -25.045315 -28.566584 -30.90974 -30.976843 -31.958376 -32.598446 -30.379736 -30.783127 -35.11563 -36.723618
1521324899.877000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  3.0344834 7.9596267 5.5252247 4.698637 2.832556 -0.87170506 -1.2857167 -6.225609 -5.685284 -5.0834317 -8.624496 -10.166416 -13.239872 -10.876691 -13.5711565 -13.893369 -7.715674 -9.9393425 -12.34679 -12.573638 -18.194757 -10.368926 -9.315621 -16.477045 -14.18076 -14.101013 -11.877507 -11.844716 -15.984472 -17.180225 -15.7832985 -15.081365 -19.814135 -23.275812 -17.52027 -16.861643 -22.667942 -19.777973 -15.62859 -18.239433 -23.25794 -19.63669 -18.483463 -18.602125 -17.41454 -14.065861 -18.796305 -17.621223 -13.63197 -15.898499 -18.81558 -22.884155 -23.509487 -22.993673 -15.742531 -16.573383 -18.293482 -19.846725 -22.388943 -18.675863 -20.293135 -22.211397 -19.59547 -21.805628 -23.278265 -23.869823 -27.888697 -27.788383 -28.288862 -29.141548 -35.62427 -31.955395 -31.702293 -25.586023 -23.920483 -24.908531 -24.710634 -27.801678 -26.980556 -21.492971 -22.09584 -20.385641 -23.35494 -26.490274 -30.59024 -23.752436 -21.68128 -17.78415 -20.815964 -21.753014 -20.393087 -18.761864 -20.488392 -24.37488 -23.583921 -22.597067 -22.177135 -18.993904 -23.684 -29.949234 -24.93985 -21.523632 -17.339405 -17.090685 -18.231247 -17.466364 -24.151302 -26.006237 -21.431746 -20.356207 -23.757761 -26.290379 -28.903442 -28.755947 -26.71552 -27.003084 -21.545998 -23.381044 -24.860168 -26.848125 -21.781424 -26.893435 -28.375566 -25.687311 -32.654743 -29.020975 -27.82774 -29.411856 -27.680126
1521324899.878000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  9.292147 11.861645 12.952378 6.7194514 10.520626 8.962643 1.7924751 3.420629 -1.5168282 -0.50162363 -5.6420236 -2.0593927 -4.8129787 -0.698777 -3.485506 0.03408207 1.5148071 -2.0221717 -8.7640915 -6.584925 -10.175686 -7.088331 -2.8871205 -4.1098146 -11.403878 -8.443354 -7.3250074 -12.488841 -13.851483 -7.5745893 -7.2386093 -7.0936627 -5.0085053 -8.436837 -5.5655103 -2.8114846 -7.0382257 -9.123624 -4.120704 -4.1568327 -6.226199 -5.849417 -5.2021904 -7.5367947 -11.759719 -8.862021 -10.036219 -8.347817 -8.319829 -11.549297 -13.843001 -12.704404 -11.804629 -17.546154 -10.427818 -10.156937 -12.598325 -9.368617 -9.7612095 -12.14281 -11.521152 -9.804179 -13.059397 -12.730726 -17.184872 -16.037306 -15.138071 -21.78099 -21.942034 -28.593592 -26.365538 -22.736704 -20.089615 -23.022451 -19.90874 -20.16449 -18.276846 -10.778057 -13.818415 -12.304608 -13.308367 -18.527157 -15.575169 -11.964451 -12.483862 -12.3892145 -15.075935 -15.775365 -12.625478 -15.376602 -18.786844 -10.555551 -11.543286 -19.198164 -16.608337 -12.174767 -14.609772 -17.752075 -18.638477 -13.50004 -13.38678 -14.069636 -15.262023 -17.546717 -15.660836 -16.785461 -18.195683 -18.783152 -12.71589 -8.388426 -11.937464 -15.783805 -18.53159 -20.91792 -16.566349 -13.187957 -13.995552 -16.233845 -16.619587 -19.286917 -18.582945 -20.763075 -24.87969 -22.331053 -17.391333 -19.86759 -22.85497 -24.115587 -24.966541
1521324899.878000 /muse/elements/low_freqs_absolute ffff  0.6295718 1.1662985 1.2397602 0.693798
1521324899.878000 /muse/elements/alpha_absolute ffff  0.25264803 0.22817558 0.07888568 0.44570643
1521324899.878000 /muse/elements/beta_absolute ffff  0.31114835 -0.11401348 -0.006742855 0.5320325
1521324899.878000 /muse/elements/delta_absolute ffff  0.12146363 1.0453551 1.1249648 0.12701163
1521324899.878000 /muse/elements/gamma_absolute ffff  0.25465778 -0.37188485 -0.51400197 0.55886304
1521324899.878000 /muse/elements/theta_absolute ffff  0.4681825 0.55202746 0.6057659 0.5564347
1521324899.878000 /muse/elements/alpha_session_score ffff  0.0 0.53846157 0.17948718 0.0
1521324899.878000 /muse/elements/beta_session_score ffff  0.0 0.0 0.27083334 0.22916667
1521324899.878000 /muse/elements/delta_session_score ffff  0.0 0.86440676 0.6764706 0.0
1521324899.878000 /muse/elements/gamma_session_score ffff  0.34375 0.06779661 0.0 0.82539684
1521324899.878000 /muse/elements/theta_session_score ffff  0.24390244 0.8352941 0.77011496 0.3275862
1521324899.878000 /muse/eeg ffff  838.94 842.2299 843.87494 840.58496
1521324899.879000 /muse/eeg ffff  829.07007 840.58496 842.2299 845.5199
