1521333253.267000 /muse/acc fff  257.8129 945.31396 128.90645
1521333253.280000 /muse/eeg ffff  820.8452 876.77454 799.46045 804.3954
1521333253.280000 /muse/eeg/quantization iiii  1 1 1 1
1521333253.280000 /muse/eeg ffff  824.13513 880.06445 799.46045 809.3303
1521333253.280000 /muse/eeg ffff  820.8452 878.4195 799.46045 809.3303
1521333253.280000 /muse/eeg ffff  815.9103 880.06445 799.46045 807.68536
1521333253.280000 /muse/eeg ffff  817.55524 876.77454 801.1054 814.26526
1521333253.280000 /muse/eeg ffff  824.13513 875.1295 802.7504 812.6203
1521333253.280000 /muse/eeg ffff  817.55524 876.77454 804.3954 810.9753
1521333253.280000 /muse/eeg ffff  799.46045 878.4195 806.04034 814.26526
1521333253.280000 /muse/eeg ffff  794.5255 878.4195 804.3954 809.3303
1521333253.280000 /muse/eeg ffff  786.3006 876.77454 806.04034 814.26526
1521333253.280000 /muse/eeg ffff  797.8155 878.4195 804.3954 817.55524
1521333253.280000 /muse/eeg ffff  794.5255 880.06445 804.3954 814.26526
1521333253.281000 /muse/elements/alpha_relative ffff  0.33539987 0.15481347 0.07356947 0.20077762
1521333253.281000 /muse/elements/beta_relative ffff  0.11651733 0.048576456 0.056840967 0.22672576
1521333253.281000 /muse/elements/delta_relative ffff  0.35301116 0.70602554 0.7848823 0.3812916
1521333253.281000 /muse/elements/gamma_relative ffff  0.117744 0.016415695 0.014686457 0.09510437
1521333253.281000 /muse/elements/theta_relative ffff  0.07732763 0.07416887 0.07002082 0.096100636
1521333253.281000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333253.281000 /muse/elements/is_good iiii  1 1 1 1
1521333253.281000 /muse/elements/blink i  0
1521333253.281000 /muse/elements/jaw_clench i  0
1521333253.281000 /muse/elements/touching_forehead i  1
1521333253.281000 /muse/elements/experimental/concentration f  0.0
1521333253.281000 /muse/elements/experimental/mellow f  0.0
1521333253.421000 /muse/eeg ffff  825.78015 876.77454 802.7504 824.13513
1521333253.422000 /muse/elements/alpha_relative ffff  0.33221632 0.16105753 0.07786416 0.22592384
1521333253.422000 /muse/elements/beta_relative ffff  0.1257983 0.05134163 0.059105393 0.23972085
1521333253.423000 /muse/elements/delta_relative ffff  0.33246368 0.69337744 0.7715502 0.3171064
1521333253.423000 /muse/elements/gamma_relative ffff  0.12600641 0.016966393 0.016057154 0.10662498
1521333253.423000 /muse/elements/theta_relative ffff  0.08351528 0.077257045 0.07542312 0.110623926
1521333253.423000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333253.423000 /muse/elements/is_good iiii  1 1 1 1
1521333253.423000 /muse/elements/blink i  0
1521333253.423000 /muse/elements/jaw_clench i  0
1521333253.423000 /muse/elements/touching_forehead i  1
1521333253.423000 /muse/elements/experimental/concentration f  0.0
1521333253.423000 /muse/elements/experimental/mellow f  0.0
1521333253.424000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  4.004372 8.270933 6.0841827 0.6147493 -6.305407 -4.065939 -6.2546625 -6.5243936 -2.8012578 -3.5100272 -6.4242167 -4.2121596 0.0053865877 -1.3594943 -4.875124 -6.216307 -8.250763 -8.064965 -4.8123283 -4.6770015 -10.346694 -13.878918 -14.319437 -14.576022 -9.443522 -7.8894863 -10.244551 -11.34558 -11.938812 -14.558955 -13.555474 -15.153149 -13.804747 -13.123824 -9.263555 -10.769147 -6.0020394 -4.505673 -8.598161 -11.806307 -12.409661 -10.041227 -4.9948397 -6.430838 -10.270594 -9.560279 -13.2901325 -11.281433 -9.604397 -10.126277 -9.84195 -17.723915 -13.584528 -11.712419 -8.393311 -6.6943755 -9.935344 -16.689148 -18.309566 -19.441132 -18.13675 -12.545281 -12.308415 -14.289501 -15.326241 -19.03967 -21.470636 -22.074656 -21.370905 -26.576595 -26.85076 -26.74174 -22.777468 -19.257275 -14.937032 -15.820649 -14.4232855 -16.425816 -18.071636 -18.672226 -13.723592 -10.22431 -13.839396 -10.8424635 -13.887837 -15.889164 -14.502043 -11.2425785 -8.771587 -8.764043 -9.984289 -11.754 -11.506632 -15.404522 -12.358159 -14.965532 -14.41899 -14.498924 -17.602642 -17.599228 -13.165844 -11.475044 -13.774067 -19.476164 -18.052607 -17.85952 -14.897863 -16.361952 -22.57183 -18.6338 -14.452887 -19.691353 -17.065147 -13.705552 -17.506474 -17.729662 -21.140907 -15.776236 -13.779679 -22.418716 -23.318127 -21.436045 -21.508343 -24.695404 -23.529217 -18.724457 -19.784529 -21.806536 -26.603971
1521333253.425000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  10.637253 15.222624 6.8887157 -0.90122825 -4.5096354 -5.0844817 -11.242622 -12.6723995 -10.019871 -8.4348135 -5.8522325 -9.161553 -11.407075 -13.15512 -14.699558 -16.826902 -14.228804 -15.648832 -12.400169 -13.49606 -17.375025 -18.738407 -21.927677 -16.687511 -19.467516 -15.196871 -17.986187 -19.461935 -18.039482 -17.803232 -20.106188 -18.844597 -14.434713 -14.560495 -18.529705 -21.61903 -23.237967 -19.77199 -22.294043 -24.498137 -25.522104 -26.731144 -20.930496 -18.346739 -22.167658 -21.875143 -19.606049 -21.351593 -20.138933 -22.941767 -24.905338 -22.74982 -30.821974 -23.665777 -20.58475 -26.13504 -26.55218 -27.081512 -22.269402 -22.176651 -24.0439 -24.02545 -20.817984 -26.852118 -28.655445 -25.699682 -25.955544 -28.65103 -33.994236 -36.63878 -29.757147 -34.097843 -33.947792 -31.885674 -31.526293 -26.365717 -26.994194 -33.754505 -36.179874 -35.562756 -34.340027 -27.962156 -22.778671 -21.945183 -20.83839 -23.998056 -22.655788 -25.308477 -21.197893 -25.162546 -27.311834 -22.977905 -24.09614 -28.62261 -23.714079 -27.018694 -25.124596 -25.051085 -23.28519 -21.729996 -26.776936 -24.620808 -30.64156 -31.893099 -30.589308 -35.073635 -29.75247 -25.331978 -29.832102 -26.645096 -23.359503 -26.354021 -27.72405 -33.3911 -29.938396 -28.960829 -26.941006 -25.246422 -30.614859 -30.419634 -29.521463 -32.632824 -34.39738 -29.135773 -26.974855 -31.710205 -33.620487 -35.17482 -39.429996
1521333253.426000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  8.715285 14.406524 5.616674 -2.118384 -4.5864267 -8.970036 -9.196712 -9.435571 -10.562794 -13.059595 -12.846492 -13.531725 -17.328283 -22.196821 -16.463593 -20.125973 -15.505469 -14.920058 -14.979839 -16.61673 -16.799507 -15.342633 -14.839588 -15.963606 -19.956451 -19.885265 -24.10012 -22.259928 -18.78893 -16.888575 -22.478176 -16.349504 -14.554927 -20.243395 -26.11567 -23.22616 -23.005142 -22.714624 -24.071379 -21.961418 -21.52246 -22.964699 -27.191 -21.890585 -24.127258 -22.707476 -23.099659 -21.873781 -20.878618 -26.488451 -22.627033 -23.356426 -23.813528 -19.09799 -22.34022 -21.617193 -20.317955 -24.26479 -23.33779 -19.559708 -21.08948 -24.778008 -25.776546 -25.759073 -22.445107 -24.76027 -30.340286 -31.393023 -33.362072 -30.469631 -25.337486 -29.15416 -32.030994 -27.87039 -27.320091 -26.972826 -27.308258 -24.374096 -26.582195 -30.344471 -22.065372 -27.272879 -26.597013 -27.456757 -29.226954 -24.125368 -24.959166 -30.37075 -30.02097 -28.60589 -27.594671 -20.310461 -22.87249 -31.179472 -25.844236 -25.814333 -25.441277 -26.58908 -26.145943 -24.966574 -23.134794 -26.13173 -27.059244 -21.537853 -20.797983 -26.99074 -28.079124 -28.345058 -30.050665 -33.84527 -32.171917 -27.08168 -25.340033 -29.982359 -27.122242 -28.525982 -30.982145 -29.110167 -31.076994 -27.90044 -29.399122 -26.852875 -25.82549 -29.189312 -29.315329 -33.84166 -34.978382 -36.49462 -29.537521
